,times,without_drawalloc,without_floatmath,without_handlerleak,without_recycle,without_usesparsearrays,without_usevalueof,without_viewholder,with_drawalloc,with_floatmath,with_handlerleak,with_recycle,with_usesparsearrays,with_usevalueof,with_viewholder
0,1,41.92236,42.077628000000004,43.47504,41.767092,41.767092,43.785576,46.114596,41.456556,41.767092,42.232896000000004,41.767092,47.512008,43.785576,30.121992
1,2,41.301288,41.92236,43.630308,39.127536,42.6987,42.543432,44.25138,42.232896000000004,42.6987,43.785576,42.388164,48.443616,42.853968,45.338256
2,3,42.232896000000004,42.388164,35.401104,43.009236,42.6987,43.630308,45.02772,42.232896000000004,42.6987,43.319772,39.59334000000001,49.530491999999995,42.077628000000004,43.940844
3,4,43.47504,42.232896000000004,42.232896000000004,40.369679999999995,42.388164,42.232896000000004,40.680215999999994,43.940844,42.388164,42.543432,37.885391999999996,46.5804,41.92236,45.80406
4,5,40.990752,43.009236,41.92236,41.92236,43.164504,41.456556,27.482436,43.319772,43.164504,43.164504,41.92236,48.909420000000004,44.096112,43.940844
5,6,39.127536,42.077628000000004,37.885391999999996,41.92236,41.611824,42.6987,46.425132,42.6987,41.611824,42.6987,41.14602,48.59888400000001,42.853968,44.406648
6,7,42.077628000000004,43.785576,43.009236,42.388164,41.767092,41.767092,45.338256,42.388164,41.767092,43.785576,42.077628000000004,47.512008,42.853968,45.338256
7,8,32.451012,42.077628000000004,34.9353,42.6987,44.406648,40.990752,45.02772,41.301288,44.406648,42.543432,42.853968,48.75415200000001,43.785576,37.574856
8,9,42.543432,41.92236,43.785576,42.853968,42.388164,43.164504,45.182988,42.077628000000004,42.388164,43.164504,41.767092,46.5804,43.319772,45.493524
9,10,42.543432,41.767092,43.940844,39.127536,42.388164,42.853968,45.182988,42.388164,42.388164,43.164504,42.077628000000004,35.245836,44.561916,43.47504
10,11,42.388164,48.13308,35.866908,42.388164,41.92236,43.785576,45.338256,33.072084000000004,41.92236,42.6987,43.47504,46.735668,44.25138,45.648792
11,12,43.009236,37.26432,43.319772,43.785576,42.853968,42.232896000000004,45.493524,32.451012,42.853968,41.611824,43.164504,47.35674,44.25138,33.693156
12,13,42.232896000000004,42.853968,42.388164,42.077628000000004,42.232896000000004,45.02772,45.80406,42.077628000000004,42.232896000000004,43.009236,41.767092,47.512008,42.543432,45.182988
13,14,41.14602,35.71164,43.785576,43.47504,42.077628000000004,43.009236,45.493524,42.543432,42.077628000000004,44.25138,38.817,47.667276,43.319772,45.338256
14,15,41.456556,41.92236,43.009236,42.388164,43.319772,42.388164,45.80406,42.388164,43.319772,42.232896000000004,43.164504,48.909420000000004,43.785576,46.114596
15,16,43.940844,41.767092,40.835484,43.319772,42.853968,43.47504,44.561916,41.14602,42.853968,44.406648,41.301288,46.269864,40.524947999999995,45.648792
16,17,41.301288,42.388164,43.164504,42.077628000000004,43.164504,43.47504,46.114596,42.077628000000004,43.164504,44.096112,43.164504,49.530491999999995,42.388164,45.493524
17,18,42.077628000000004,41.767092,43.009236,41.92236,45.182988,42.853968,44.406648,43.940844,45.182988,43.164504,41.301288,47.35674,44.096112,46.735668
18,19,43.009236,42.388164,43.940844,39.438072,43.785576,39.59334000000001,40.835484,41.301288,43.785576,42.853968,43.009236,43.47504,43.47504,45.648792
19,20,40.990752,43.319772,43.47504,42.388164,44.25138,43.47504,41.301288,42.388164,44.25138,38.506464,43.630308,47.046203999999996,43.164504,45.648792
