,times,without_floatmath
0,0,42.077628
1,1,41.92236
2,2,42.388164
3,3,42.232896
4,4,43.009236
5,5,42.077628
6,6,43.785576
7,7,42.077628
8,8,41.92236
9,9,41.767092
10,10,48.13308
11,11,37.26432
12,12,42.853968
13,13,35.71164
14,14,41.92236
15,15,41.767092
16,16,42.388164
17,17,41.767092
18,18,42.388164
19,19,43.319772
20,20,42.232896
21,21,41.611824
22,22,42.6987
23,23,27.94824
24,24,43.009236
25,25,41.611824
26,26,42.853968
27,27,41.14602
28,28,43.319772
29,29,42.853968
30,30,42.543432
31,31,41.14602
32,32,40.835484
33,33,42.6987
34,34,43.319772
35,35,42.6987
36,36,44.25138
37,37,41.92236
38,38,43.940844
39,39,41.301288
